ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
1,1,1,Secrets,8.3,"11,545",12/01/2017,"The small German town of Winden is shaken by the disappearance of a teenage boy. While the townsfolk are occupied with secrets of their own, at nightfall a group of teenagers attempts to recover something the missing boy may have left behind."
2,1,2,Lies,8.2,"10,182",12/01/2017,"When a grim discovery leaves the police baffled, Ulrich seeks a search warrant for the power plant. A mysterious stranger checks into the hotel."
3,1,3,Past and Present,8.7,"9,853",12/01/2017,"It's 1986, and Ulrich's brother, Mads, has been missing for a month. Confusion reigns as past and present intertwine."
4,1,4,Double Lives,8.3,"9,341",12/01/2017,"Bizarre occurrences give Charlotte a sense of déjà vu, and she suspects Peter is hiding something. Franziska snaps when Magnus confronts her."
5,1,5,Truths,9.0,"9,835",12/01/2017,Hannah takes her obsession with Ulrich too far. The stranger asks Regina to deliver an important package. Martha is torn between Jonas and Bartosz.
6,1,6,Sic Mundus Creatus Est,9.1,"9,706",12/01/2017,"Ulrich looks to the past for answers and dredges up disturbing family secrets. Armed with new tools, Jonas probes the cave's murky depths."
7,1,7,Crossroads,8.8,"8,974",12/01/2017,"Ulrich questions a frail and frightened Helge in the nursing home. Jonas searches for Mikkel, but the stranger warns him about meddling with the past."
8,1,8,"As You Sow, so You Shall Reap",9.2,"9,569",12/01/2017,"In 1953, the disfigured bodies of two boys are exhumed at a construction site, the future location of Winden's nuclear power plant."
9,1,9,Everything Is Now,8.8,"8,856",12/01/2017,"Ulrich runs afoul of the law, Helge tries to dodge Egon Tiedemann, Claudia harnesses the cave's powers, and Katharina lashes out at Hannah."
10,1,10,Alpha and Omega,9.2,"10,056",12/01/2017,"Peter gets a shock. Jonas learns the truth about his family, but there are more surprises still to come. Helge makes a sacrifice."
11,2,1,Beginnings and Endings,8.9,"10,238",06/21/2019,"Six months after the disappearances, the police form a task force. In 2052, Jonas learns that most of Winden perished in an apocalyptic event."
12,2,2,Dark Matter,9.0,"9,480",06/21/2019,"Clausen and Charlotte interview Regina. The Stranger takes Hannah to 1987, where Claudia has an unnerving encounter and Egon visits an old nemesis."
13,2,3,Ghosts,9.2,"9,392",06/21/2019,"In 1954, a missing Helge returns, but he'll only speak to Noah. In 1987, Claudia brings the time machine to Tannhaus, and Egon questions Ulrich again."
14,2,4,The Travelers,9.5,"10,240",06/21/2019,"Jonas meets an ominous figure. While the kids comb the cave for answers, the adults gather in the bunker to share what they know about the travelers."
15,2,5,Lost and Found,9.4,"9,483",06/21/2019,"In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future."
16,2,6,An Endless Cycle,9.6,"11,501",06/21/2019,"Armed with a plan to prevent the apocalypse, Jonas travels to 2019. During the Nielsens' anniversary party, Ulrich sneaks off with Hannah."
17,2,7,The White Devil,9.3,"9,322",06/21/2019,Martha meets the Stranger and learns his true identity. Claudia tries to prevent Egon's death in 1987. Hannah travels to 1954 to see Ulrich.
18,2,8,Endings and Beginnings,9.5,"11,710",06/21/2019,"On the day of the apocalypse, Clausen executes a search warrant at the power plant as Jonas and Claudia use the time machine to connect past and future."
19,3,1,Deja-vu,9.0,"10,988",06/27/2020,"In 2019, Jonas emerges from the cave into a different but not unfamiliar world: The town of Winden reeling from the recent disappearance of a young boy."
20,3,2,The Survivors,8.9,"10,026",06/27/2020,Martha travels to 1888 to warn her friends about the 2020 disaster. Winden residents past and present search for their missing loved ones.
21,3,3,Adam and Eva,8.9,"9,711",06/27/2020,"Charlotte and Ulrich try to piece together what happened in the bunker. In different times and worlds, Jonas and Martha work to gain each other's trust."
22,3,4,The Origin,9.1,"9,887",06/27/2020,"Jonas and Martha travel to the year 2052 and get a glimpse of a grim future. In 1954, two residents of Winden go missing, and Hannah receives surprising news."
23,3,5,Life and Death,9.4,"10,758",06/27/2020,"In 2020, a visitor delivers a warning to Claudia. The day before the apocalypse, Jonas begins to question Eve's motives."
24,3,6,Light and Shadow,9.3,"10,437",06/27/2020,"Adam holds Martha captive in 2020. On the day of the apocalypse, an increasingly frantic Martha begs Bartosz for his help."
25,3,7,Between the Time,9.6,"13,774",06/27/2020,"Across three centuries, residents of Winden continue their desperate quest to alter their fates and save their loved ones."
26,3,8,The Paradise,9.7,"18,182",06/27/2020,Claudia reveals to Adam how everything is connected and how he can destroy the knot.
