ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
1,1,1,Help Wanted/Reef Blower/Tea at the Treedome,8.7,"1,361",05/01/1999,"Spongebob tries to get a job as a fry cook at the Krusty Krab. Later, he meets a squirrel named Sandy and is invited over to her house."
2,1,2,BubbleStand/Ripped Pants,8.6,"1,094",07/16/1999,Bubblestand: SpongeBob blows bubbles. Ripped Pants: SpongeBob accidentally tears his pants.
3,1,3,Jellyfishing/Plankton!,8.5,944,07/31/1999,Jellyfishing: SpongeBob and Patrick take Squidward jellyfishing. Plankton!: Plankton tries to steal the formula.
4,1,4,Naughty Nautical Neighbors/Boating School,8.6,864,08/06/1999,"Tired of his annoying neighbors, Squidward turns Spongebob and Patrick against each other. Later, Spongebob tries to pass his boating test."
5,1,5,Pizza Delivery/Home Sweet Pineapple,9.2,"1,148",08/13/1999,"Spongebob and Squidward must deliver a pizza for the Krusty Krab. Later, Spongebob's pineapple house is eaten by nematodes, leaving him homeless."
6,1,6,Mermaidman and Barnacleboy/Pickles,8.6,879,08/20/1999,Mermaid Man and Barnacle Boy: SpongeBob and Patrick visit a retirement home. Pickles: SpongeBob loses his confidence.
7,1,7,Hall Monitor/Jellyfish Jam,8.6,819,08/27/1999,Hall Monitor: SpongeBob takes his turn as hall monitor. Jellyfish Jam: SpongeBob takes a wild jellyfish home.
8,1,8,Sandy's Rocket/Squeaky Boots,8.3,810,09/17/1999,Spongebob and Patrick are launched into space after fooling around with the controls. Mr. Jeans goes crazy from the squeaky sound of SpongeBob's new boots.
9,1,9,Nature Pants/Opposite Day,8.5,779,09/10/1999,"Nature Pants: After suffering through some unusually rough days at work, SpongeBob decides to leave his industrialized life and ""live off the land"" with the jellyfish in JellyFish Fields. A rough day on the job, however, is nothing compared to a rough day of trying survive in nature amongst the jellyfish. SpongeBob is forced endure cold nights, bad food, and being pursued by the jellyfishing Patrick! Opposite Day: Fed up with SpongeBob and Patrick, Squidward decides to sell his house and move. Worried no one will buy it if they see what their neighbors will be really ..."
10,1,10,Culture Shock/F.U.N.,8.8,843,09/17/1999,A talent show is held at the Krusty Krab. / SpongeBob spends time with Plankton.
11,1,11,MuscleBob BuffPants/Squidward the Unfriendly Ghost,8.5,735,10/02/1999,SpongeBob orders a pair of fake muscles to impress his friends. / Squidward pretends that he is a ghost.
12,1,12,The Chaperone/Employee of the Month,8.5,725,03/08/2000,SpongeBob escorts Mr. Krabs' daughter to her school prom after she's dumped by her boyfriend; Spongebob and Squidward vie for Employee of the Month.
13,1,13,Scaredy Pants/I Was a Teenage Gary,8.5,740,10/27/1999,Scaredy Pants: Halloween party. I Was a Teenage Gary: Squidward takes care of SpongeBob's pet snail.
14,1,14,SB-129/Karate Choppers,9.1,901,12/31/1999,Squidward accidentally travels through time. / Mr. Krabs bans SpongeBob from doing karate.
15,1,15,Sleepy Time/Suds,8.7,747,01/17/2000,SpongeBob visits his friends' dreams. / SpongeBob comes down with a case of the Suds.
16,1,16,Valentine's Day/The Paper,8.6,680,02/14/2000,SpongeBob and Patrick go to the carnival. / SpongeBob has fun with a gum wrapper.
17,1,17,Arrgh!/Rock Bottom,9.3,923,03/15/2000,Mr. Krabs convinces SpongeBob and Patrick to join him on a treasure hunt; SpongeBob gets on the wrong bus.
18,1,18,Texas/Walking Small,8.6,707,03/22/2000,SpongeBob and Patrick try to help Sandy out when she feels homesick. / Plankton tries to get SpongeBob to be mean.
19,1,19,Fools in April/Neptune's Spatula,8.5,665,04/01/2000,SpongeBob stages practical jokes for April Fool's Day and annoys Squidward who decides to get even; SpongeBob takes part in the Fry Cook Hall of Fame.
20,1,20,Hooky/Mermaidman and Barnacleboy II,8.8,718,03/03/2001,"Hooky: When the mysterious ""hooks"" (fishing, that is) suddenly appear in Bikini Bottom, Mr. Krabs warns SpongeBob to stay away from them. Despite Mr. Krabs' scary tales of sea creatures winding up in gift shops or packed cans, Patrick convinces SpongeBob that there's no risk and the boys tempt fate by riding the hooks and jumping off for fun. Mermaidman and Barnacleboy II: SpongeBob wins the big prize from his favorite TV show, ""The Adventures of Mermaidman and Barnacleboy"" - The Conch Signal! Now he can summon the semi-retired super heroes whenever there's an ..."
21,2,1,Something Smells/Bossy Boots,8.8,666,10/26/2000,Spongebob's breath starts to stink. / Mr. Krabs employs his daughter at the Krusty Krab.
22,2,2,Your Shoe's Untied/Squid's Day Off,8.9,705,11/02/2000,SpongeBob realizes he can't tie his shoes. / Mr. Krabs puts Squidward in charge for a day.
23,2,3,Big Pink Loser/Bubble Buddy,8.8,688,11/16/2000,Patrick tries to win an award. / SpongeBob gets a new friend.
24,2,4,Dying for Pie/Imitation Krabs,9.3,838,12/28/2000,"When Squidward unknowingly gives Spongebob a pie laced with explosives, he attempts to make Spongebob's last day on Earth meaningful. Plankton builds a robot that looks like Mr. Krabs in an attempt to steal the formula."
25,2,5,Wormy/Patty Hype,8.8,646,02/24/2001,"SpongeBob and Patrick watch over Sandy's pets when she is out of town. / SpongeBob has an idea, but nobody will listen."
26,2,6,Grandma's Kisses/Squidville,8.7,678,04/28/2001,Spongebob gets embarrassed when his grandma kisses him in public. Squidward moves into a gated community for squids.
27,2,7,PreHibernation Week/Life of Crime,9.0,669,05/05/2001,Pre-Hibernation Week: SpongeBob hides from Sandy. Life of Crime: SpongeBob and Patrick borrow a balloon from a store and accidentally pop it.
28,2,8,Christmas Who?,8.9,785,12/06/2000,"Christmas Who?: Nobody in Bikini Bottom has ever heard of Christmas or Santa Clause until Sandy lets them in on this surface tradition. SpongeBob wants to bring Christmas to Bikini Bottom this year and his enthusiasm is infectious. Everyone gets into the spirit, waiting for Santa to arrive on the big day. Everyone except Squidward, who has scoffed at SpongeBob the whole while. When Santa is a no show on Christmas morning, everyone blames SpongeBob for getting their hopes up. But in a surprise ending, Squidward uncharacteristically saves the day and Christmas ends up ..."
29,2,9,Survival of the Idiots/Dumped,8.8,660,05/19/2001,"Survival of the Idiots: SpongeBob and Patrick sneak into the Treedome. Dumped: Gary goes to Patrick, and SpongeBob becomes jealous."
30,2,10,No Free Rides/I'm Your Biggest Fanatic,8.6,601,04/14/2001,SpongeBob gets extra credit in order to pass his driving test. / SpongeBob and Patrick go to a jellyfishing convention.
31,2,11,Mermaidman and Barnacleboy III/Squirrel Jokes,8.9,648,11/27/2000,"Mermaid Man and Barnacle Boy fight one of their toughest enemies, ManRay, after Spongebob and Patrick free him; Spongebob tells mean squirrel jokes."
32,2,12,Pressure/The Smoking Peanut,8.6,586,05/12/2001,Sandy and SpongeBob compete in a series of extreme underwater activities; SpongeBob covers up the fact that he caused emotional hurt to an oyster at the zoo.
33,2,13,Shanghaied/Gary Takes a Bath,9.1,757,03/09/2001,"Spongebob, Patrick, and Squidward become unwilling crew members aboard the Flying Dutchman's ghostly pirate ship. Spongebob attempts to give Gary a bath."
34,2,14,Welcome to the Chum Bucket/Frankendoodle,9.3,801,01/21/2002,"After Mr. Krabs loses a card game to Plankton, Spongebob is forced to work at the Chum Bucket. Later, Spongebob and Patrick discover a magic pencil that brings anything they draw with it to life."
35,2,15,The Secret Box/Band Geeks,9.8,"2,413",09/07/2001,Curiosity is killing Spongebob as he tries to invite out what is in the box that Patrick keeps with him: Squidward wants to form a marching band.
36,2,16,Graveyard Shift/Krusty Love,9.4,895,09/06/2002,"The Krusty Krab is open for 24 hours a day to make more money, and Squidward scares Spongebob with the ""hash slinging slasher.""/ Ms. Puff comes to the Krusty Krab and Mr. Krabs gets Spongebob's help to woo her."
37,2,17,Procrastination/I'm with Stupid,8.6,659,10/19/2001,"Spongebob must write an essay for Boating School, but he keeps putting it off. Patrick's parents come to visit, and Patrick wants to make a good impression."
