ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
1,1,1,Pilot,8.1,571,09/21/1998,"Doug Heffernan gets a 70-inch TV to make his sport's basement dream complete, but the dream turns into a nightmare when Carrie's father moves into the basement."
2,1,2,Fat City,7.8,450,09/28/1998,"When Doug finds out that the women on Carrie's side of the family become overweight in their lives, he tries to keep Carrie from being overweight."
3,1,3,"Cello, Goodbye",7.7,422,10/05/1998,"When Carrie keeps skipping softball games with Doug and the guys, Doug wonders what's going on."
4,1,4,Richie's Song,7.7,398,10/12/1998,"When Doug finds out that Richie's wife cheats on him, he must confront him with the news. However, Doug has some trouble telling his friend about his girlfriend."
5,1,5,Paternal Affairs,7.9,395,10/19/1998,"Doug's favorite aunt, Sheila, begins to date Arthur."
6,1,6,Head First,8.0,400,10/26/1998,"Doug tries to get Carrie to pay more bedroom attention to him by becoming Arthur's ""playmate"". Can Doug withstand Arthur's crazy amusement?"
7,1,7,The Rock,7.7,383,11/02/1998,Doug and Carrie remember when he proposed to her after a jeweler offers more money for the ring than Doug had originally paid.
8,1,8,Educating Doug,7.9,379,11/09/1998,"Carrie signs she and Doug up for a class at the community college when she begins to think that they're becoming dumb and boring. Doug has a hard time with it, but luckily Spence in also in the class."
9,1,9,Road Rayge,8.0,405,11/16/1998,"Doug regrets helping Ray Barone cheat on his driving test. Meanwhile, Arthur's neediness hinder's Carrie's studying."
10,1,10,Supermarket Story,8.4,453,11/23/1998,"Doug, Carrie and Arthur have an extraordinary day in the supermarket while shopping for Thanksgiving."
11,1,11,Noel Cowards,8.0,384,12/14/1998,"Its the Christmas season and Doug and Carrie have their eyes on a new car, but when they find out they can't afford it Arthur surprises them with something quite unexpected."
12,1,12,Fixer Upper,7.8,376,12/21/1998,"Carrie arranges a blind date for Spence with Jenny, one of Carrie's co-workers."
13,1,13,Best Man,8.0,375,01/11/1999,"Doug, Carrie, Arthur, Deacon and Kelly are going to the wedding of Todd, an old friend of Carrie and Kelly. Just before going to the wedding, Doug finds out Carrie once had sex with Todd."
14,1,14,Dog Days,7.8,382,01/18/1999,The dog of the new neighbors keeps Doug and Carrie up all night. Arthur thinks Charles Schultz based Peanuts on him.
15,1,15,Crappy Birthday,7.6,364,02/01/1999,Doug has planned to watch a wrestling match on the same day Carrie turns 30.
16,1,16,S'ain't Valentine's,7.6,367,02/08/1999,"Doug's romantic plans with Carrie are hijacked by Veronica, who has planned a last-minute surprise party for Spence. Arthur meets a woman at a Senior Center dance."
17,1,17,Court Date,7.7,358,02/15/1999,"Carrie gets a ticket and since it's her fourth, the car insurance will be doubled. Doug is cross with Carrie about this and when the cop who gave Carrie the ticket wants to go out with her, Doug insists she goes out with him."
18,1,18,White Collar,7.8,351,02/22/1999,"Doug gets a promotion. Carrie is thrilled with this, Doug however doesn't like the job."
19,1,19,Rayny Day,7.9,375,03/01/1999,"At the same moment he has Richie over to talk about his divorce trouble, Ray Barone calls Doug to play golf. This is a tough call for Doug."
20,1,20,Train Wreck,8.0,377,03/15/1999,"Doug doesn't like that Carrie isn't jealous when Doug's new trainee is a very pretty girl. Meanwhile, Arthur has his own millennium problem...with a tombstone."
21,1,21,Hungry Man,7.9,367,04/05/1999,"Carrie's boss invites Doug and Carrie to a cocktail party. Doug, plagued by enormous hunger since he hasn't eaten all day, behaves far from perfect."
